#{"t_start": 1746744840.35109, "env_id": "None"}
r,l,t
95.0,2,24.564074
-370.0,75,24.655074
71.0,7,24.666078
75.0,7,24.679074
-375.0,75,24.866074
91.0,3,24.872075
-8.0,24,24.907081
83.0,5,24.974075
91.0,3,24.986075
-365.0,75,25.095077
-365.0,75,25.325095
95.0,2,25.363099
-241.0,73,25.471096
91.0,3,25.476094
95.0,2,25.481094
-370.0,75,25.613098
91.0,3,25.620099
95.0,2,25.625097
-30.0,27,25.671096
95.0,2,25.776094
-375.0,75,25.871095
87.0,4,25.879096
87.0,4,25.888097
-221.0,66,26.185121
-370.0,75,26.447152
95.0,2,26.452152
87.0,4,26.459152
95.0,2,26.479156
95.0,2,26.484156
70.0,7,26.495151
95.0,2,26.499154
95.0,2,26.506152
95.0,2,26.510156
-37.0,29,26.552152
-365.0,75,26.659152
-81.0,38,26.807151
91.0,3,26.812153
-360.0,75,26.941152
-211.0,61,27.021155
95.0,2,27.051154
-23.0,25,27.085152
-350.0,75,27.345153
-259.0,75,27.577163
-242.0,69,27.729167
50.0,12,27.746165
-58.0,34,27.803163
-142.0,50,27.952165
42.0,14,27.982163
60.0,9,27.996165
-375.0,75,28.088164
-28.0,28,28.282177
72.0,6,28.346184
-154.0,53,28.413188
95.0,2,28.417187
91.0,3,28.45319
83.0,5,28.608186
-360.0,75,28.700186
91.0,3,28.706185
60.0,9,28.720184
75.0,7,28.785185
68.0,7,28.796186
87.0,4,28.803185
-210.0,64,29.042207
-375.0,75,29.275218
-57.0,31,29.366219
-79.0,38,29.429216
95.0,2,29.607216
95.0,2,29.664233
-410.0,75,30.581276
-410.0,75,31.696404
-410.0,75,32.436424
-58.0,34,33.076456
21.0,18,33.313456
87.0,4,33.509514
91.0,3,33.570515
-375.0,75,34.301549
50.0,12,34.645596
-340.0,75,36.009611
-355.0,75,37.05968
91.0,3,37.159681
-17.0,25,37.736762
87.0,4,37.768764
59.0,11,37.974772
91.0,3,38.041775
-52.0,32,38.447788
34.0,16,38.738801
91.0,3,38.789803
18.0,20,39.17684
-370.0,75,40.452964
-335.0,75,41.553011
-355.0,75,42.825051
-370.0,75,44.209118
-375.0,75,45.700205
-365.0,75,46.937329
-360.0,75,47.932391
-137.0,50,48.552393
-365.0,75,49.590418
95.0,2,49.615414
-365.0,75,50.496525
95.0,2,50.556525
95.0,2,50.627527
-370.0,75,51.720537
-360.0,75,53.22156
83.0,5,53.42756
41.0,13,53.627561
-244.0,73,54.453597
-42.0,30,55.087596
-29.0,28,55.989628
95.0,2,56.05563
-38.0,29,56.860632
-158.0,54,58.548055
60.0,9,58.741052
95.0,2,58.812053
9.0,21,59.145053
-89.0,38,59.981478
-259.0,73,61.36448
91.0,3,61.425479
91.0,3,61.504483
91.0,3,61.529481
-385.0,75,62.654556
91.0,3,62.850556
-48.0,31,63.255555
95.0,2,63.276555
-67.0,35,63.910588
-19.0,25,64.4266
-355.0,75,65.728636
95.0,2,65.795684
-355.0,75,66.849775
91.0,3,66.874774
-345.0,75,67.934809
-360.0,75,69.042939
87.0,4,69.062939
95.0,2,69.07694
-360.0,75,70.361036
-140.0,51,71.209177
95.0,2,71.32918
-360.0,75,72.449225
17.0,19,72.548225
-181.0,61,73.666316
-365.0,75,75.023396
-350.0,75,76.641501
-345.0,75,77.851557
-355.0,75,79.333692
91.0,3,79.401707
-360.0,75,80.572776
-8.0,24,81.051776
87.0,4,81.114777
95.0,2,81.160776
45.0,12,81.301798
95.0,2,81.3058
-360.0,75,82.604895
62.0,9,82.761896
-274.0,75,83.853966
95.0,2,83.869965
-70.0,37,84.568032
-370.0,75,85.261086
-7.0,25,85.62514
67.0,9,85.705141
91.0,3,85.764141
47.0,13,86.171145
-74.0,38,86.632141
-355.0,75,87.874192
-196.0,63,89.314212
91.0,3,89.49721
75.0,7,89.597211
22.0,16,89.93821
-355.0,75,91.129255
5.0,22,91.534359
91.0,3,91.624357
46.0,13,91.791363
95.0,2,91.800359
95.0,2,91.840358
21.0,18,92.075374
87.0,4,92.094371
-360.0,75,94.145443
-345.0,75,95.83844
-355.0,75,97.133451
87.0,4,97.333453
72.0,6,97.427461
-218.0,68,98.297461
95.0,2,98.32646
-345.0,75,99.397529
95.0,2,99.412532
-140.0,52,100.184586
95.0,2,100.192588
-350.0,75,101.540622
-355.0,75,102.459632
95.0,2,102.464632
95.0,2,102.492634
95.0,2,102.496633
-79.0,38,103.301741
59.0,11,103.421742
-365.0,75,105.196889
50.0,12,105.486888
95.0,2,105.57889
-365.0,75,107.137938
17.0,18,107.457983
-355.0,75,108.44007
52.0,10,108.631083
79.0,6,108.676087
95.0,2,108.709084
91.0,3,108.724086
-355.0,75,109.933189
-355.0,75,110.981239
91.0,3,111.001243
-196.0,66,111.925251
87.0,4,111.987278
95.0,2,111.992279
95.0,2,112.018277
91.0,3,112.065276
-355.0,75,113.62654
-121.0,50,114.499604
-355.0,75,115.556772
-169.0,58,116.153885
42.0,14,116.413927
42.0,14,116.55595
-131.0,53,117.227069
-360.0,75,118.25113
95.0,2,118.256132
0.0,22,118.610165
-360.0,75,120.008187
79.0,6,120.046188
91.0,3,120.059186
-355.0,75,121.270157
-365.0,75,122.277237
-157.0,55,123.495374
-43.0,30,123.970428
-350.0,75,125.104532
-153.0,54,126.41953
-87.0,40,126.953551
54.0,11,127.128552
-21.0,26,127.435553
95.0,2,127.501551
83.0,5,127.647552
39.0,16,127.912552
-355.0,75,129.495652
67.0,8,129.695656
91.0,3,129.718654
-360.0,75,130.758683
-365.0,75,131.718728
-231.0,68,133.082727
79.0,6,133.164736
-365.0,75,134.306803
-345.0,75,135.412855
-44.0,32,135.828862
59.0,11,136.016874
91.0,3,136.052872
-350.0,75,137.254906
95.0,2,137.314903
-360.0,75,138.605961
91.0,3,138.73196
58.0,10,138.777959
-350.0,75,139.868015
-180.0,61,140.953084
-360.0,75,142.135173
-157.0,55,142.772182
-131.0,48,143.565253
-350.0,75,144.962276
-103.0,44,145.678346
87.0,4,145.807347
-345.0,75,147.229404
-355.0,75,148.333478
34.0,16,148.448478
-80.0,42,148.956508
95.0,2,149.082037
-340.0,75,150.031063
-360.0,75,151.149179
-61.0,36,151.909267
-355.0,75,153.241372
-168.0,59,153.899415
33.0,15,153.993415
26.0,18,154.161427
91.0,3,154.227437
-168.0,58,155.002463
-44.0,32,155.494516
-340.0,75,157.018596
95.0,2,157.084597
29.0,16,157.454598
71.0,7,157.670618
87.0,4,157.765617
67.0,9,158.044627
-340.0,75,159.774833
-172.0,57,160.501899
-345.0,75,161.947064
-360.0,75,163.032104
-350.0,75,164.307146
79.0,6,164.430615
-340.0,75,166.29465
-24.0,28,166.853696
95.0,2,166.861697
