time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/mean_reward,train/max_reward,train/min_reward,eval/mean_reward,train/std_reward
52,126.0,1,39,2048,-4.193956249999999,,,,,,,,,,,,,,,
104,135.46666666666667,2,39,4096,-4.486846666666667,-0.014250874519348145,0.0001,-0.030616052448749542,-1.0963188532739878,10,0.2,0.04961764607287478,0.01376953125,0.005891841,-0.008845210442086682,,,,,
158,137.8181818181818,3,38,6144,-4.545606818181818,0.07716542482376099,0.0001,-0.08259311318397522,-1.0852483842521905,20,0.2,0.06552995320525952,0.157861328125,0.020805586,-0.048323474565404465,,,,,
211,138.89655172413794,4,38,8192,-4.573222413793103,0.21575093269348145,0.0001,-0.08651287853717804,-1.0652747984975577,30,0.2,0.07585616481665056,0.2259765625,0.024792131,-0.06178430027503055,,,,,
266,141.77777777777777,5,38,10240,-4.658459722222222,0.24797767400741577,0.0001,-0.11211074143648148,-1.0580379635095596,40,0.2,0.08480994068959262,0.279345703125,0.029150505,-0.07392870867042803,,,,,
320,141.86046511627907,6,38,12288,-4.643166279069767,0.17646050453186035,0.0001,-0.10675688087940216,-1.030684607475996,50,0.2,0.08839174667664337,0.294287109375,0.031100517,-0.07403762574831489,,,,,
372,140.24,7,38,14336,-4.573345,0.09494411945343018,0.0001,-0.11842339485883713,-1.009181991033256,60,0.2,0.1092349740152713,0.3173828125,0.035156623,-0.08076794688531663,,,,,
424,146.4,8,38,16384,-4.736530999999999,0.15712082386016846,0.0001,-0.11177580058574677,-0.9919400060549378,70,0.2,0.09991139648482203,0.349853515625,0.03715287,-0.08179682390764356,,,,,
476,150.24,9,38,18432,-4.836515,0.18510472774505615,0.0001,-0.1130385547876358,-0.966299232840538,80,0.2,0.08275961340987123,0.359765625,0.04693725,-0.08413446765334812,,,,,
529,157.6,10,38,20480,-5.042915000000001,0.17017823457717896,0.0001,-0.12364951521158218,-0.9227479659020901,90,0.2,0.08267826044029788,0.384033203125,0.04762788,-0.08699097885109949,,,,,
582,162.08,11,38,22528,-5.161317,0.1384785771369934,0.0001,-0.11590570956468582,-0.9116594867780805,100,0.2,0.0933560627992847,0.386474609375,0.049762838,-0.0824256755237002,,,,,
636,165.6,12,38,24576,-5.241368999999999,-0.010440707206726074,0.0001,-0.1078554317355156,-0.9057304505258799,110,0.2,0.07728489320579683,0.411279296875,0.056154966,-0.08941872721770779,,,,,
689,163.6,13,38,26624,-5.158405,0.04219537973403931,0.0001,-0.11822904646396637,-0.8963339284062386,120,0.2,0.12192317025037483,0.388330078125,0.049166612,-0.07991560710943305,,,,,
744,166.8,14,38,28672,-5.258579999999999,0.0426863431930542,0.0001,-0.11121321469545364,-0.8857560398057103,130,0.2,0.10885003181174398,0.415283203125,0.055618167,-0.08172119464434217,,,,,
795,171.52,15,38,30720,-5.387987999999999,0.15137523412704468,0.0001,-0.12281741201877594,-0.8863202391192317,140,0.2,0.09287146244751057,0.431103515625,0.059690855,-0.08206489352160133,,,,,
847,175.6,16,38,32768,-5.491288,0.1367068886756897,0.0001,-0.09888725727796555,-0.8595412492752075,150,0.2,0.09425004862423521,0.44013671875,0.06185318,-0.08579170303419233,,,,,
899,165.28,17,38,34816,-5.200308,0.22000938653945923,0.0001,-0.11665180325508118,-0.8579139105975628,160,0.2,0.07099160618963651,0.453662109375,0.06557998,-0.08512846530647948,,,,,
952,163.44,18,38,36864,-5.120317,0.2181883454322815,0.0001,-0.1209118664264679,-0.8553060738369822,170,0.2,0.10619643417594489,0.43330078125,0.06634155,-0.08555744923651218,,,,,
1005,156.32,19,38,38912,-4.924313000000001,0.2760307788848877,0.0001,-0.10705289989709854,-0.805439823307097,180,0.2,0.0886967950995313,0.445947265625,0.07932192,-0.08887534926179796,,,,,
1058,155.68,20,38,40960,-4.938868,0.3059900403022766,0.0001,-0.09448365122079849,-0.8101061107590795,190,0.2,0.09799844135413878,0.42744140625,0.07196222,-0.08113419147848618,,,,,
1110,161.44,21,38,43008,-5.106662,0.13923221826553345,0.0001,-0.09734092652797699,-0.7939517771825194,200,0.2,0.09850925326172728,0.43359375,0.07004924,-0.08097741089586634,,,,,
1162,159.28,22,38,45056,-5.025539,0.04262417554855347,0.0001,-0.12046357244253159,-0.7745147634297609,210,0.2,0.08658036694687325,0.428369140625,0.083633594,-0.08395858488802332,,,,,
1215,157.92,23,38,47104,-4.966251999999999,0.033150434494018555,0.0001,-0.09344429522752762,-0.7397516308352351,220,0.2,0.11470537212153431,0.42216796875,0.07611402,-0.0782250086806016,,,,,
1269,159.2,24,38,49152,-5.006182,0.07543706893920898,0.0001,-0.10459188371896744,-0.7057566497474909,230,0.2,0.08769233692728448,0.433154296875,0.10025171,-0.08218895547033753,,,,,
1322,166.37,25,38,51200,-5.2014320000000005,-0.06593859195709229,0.0001,-0.1221279501914978,-0.6838463904336095,240,0.2,0.08451894349709618,0.43212890625,0.09931063,-0.07794182628567796,,,,,
1376,167.41,26,38,53248,-5.227315000000001,0.09431582689285278,0.0001,-0.11031091213226318,-0.6650756496936083,250,0.2,0.07408402137516532,0.41494140625,0.11052804,-0.08199716132949106,,,,,
